,match,date,tournament,radiant,dire,winner,time,killScore,patch,Radiant Gain,Dire Gain,Radiant ELO,Dire ELO
165,2243454325,03/23/16,ESL One Manilla SEA Qualifiers,BI,Wu.J,RADIANT,16.92,17-Jul,6.86,50.00,-50.00,1050,950
166,2243323361,03/23/16,EPICENTER,MVP Phoenix,TNC,RADIANT,44.65,29 - 42,6.86,3.35,-3.35,1804,1213
167,2243185506,03/23/16,SEA KAPPA,Rave 2,NND,DIRE,60.03,31 - 42,6.86,-51.86,51.86,981,1072
168,2243172383,03/23/16,ESL One Manilla China Qualifiers,VG.R,VG,RADIANT,38.95,30 - 20,6.86,46.34,-46.34,1325,1207
169,2243168066,03/23/16,ESL One Manilla SEA Qualifiers,Mongolz,Cant Say,RADIANT,18.62,20-Apr,6.86,44.57,-44.57,978,851
170,2243081615,03/23/16,ESL One Manilla China Qualifiers,VG,VG.R,DIRE,18.17,Apr-20,6.86,-64.46,64.46,1253,1278
171,2243079646,03/23/16,ESL One Manilla SEA Qualifiers,Mongolz,Cant Say,RADIANT,16.55,21-Apr,6.86,62.20,-62.20,934,896
172,2243077822,03/23/16,EPICENTER,Fnatic.MY,Mineski,RADIANT,18.27,27-Jun,6.86,16.87,-16.87,1553,1242
173,2242985193,03/23/16,EPICENTER,Mineski,Fnatic.MY,DIRE,28.77,14 - 33,6.86,-20.43,20.43,1259,1536
174,2241377045,03/22/16,ESL One Manilla SEA Qualifiers,NG 2,MskiX,RADIANT,30.67,23 - 16,6.86,35.20,-35.20,1084,908
175,2241354360,03/22/16,EPICENTER,First Departure,Mineski,DIRE,50.15,34 - 44,6.86,-16.99,16.99,970,1279
176,2241349099,03/22/16,ESL One Manilla China Qualifiers,CDEC.A,VG.R,DIRE,27.98,22 - 36,6.86,-44.58,44.58,1087,1214
177,2241252599,03/22/16,ESL One Manilla SEA Qualifiers,NG 2,MskiX,RADIANT,28.45,27 - 21,6.86,48.78,-48.78,1049,943
178,2241199446,03/22/16,ESL One Manilla China Qualifiers,VG.R,CDEC.A,RADIANT,36.25,26 - 23,6.86,62.21,-62.21,1169,1131
179,2241184464,03/22/16,EPICENTER,First Departure,Mineski,DIRE,46.83,32 - 26,6.86,-20.60,20.60,987,1262
180,2241060191,03/22/16,ESL One Manilla SEA Qualifiers,Taring,WG.Unity,DIRE,54.45,25 - 21,6.86,-57.98,57.98,1023,1083
181,2241047218,03/22/16,EPICENTER,Mineski,First Departure,DIRE,33.57,19 - 30,6.86,-91.72,91.72,1242,1007
182,2240978055,03/22/16,ESL One Manilla China Qualifiers,CDEC.Y 2,VG,DIRE,39.62,14 - 28,6.86,-59.53,59.53,1265,1317
183,2240923730,03/22/16,ESL One Manilla SEA Qualifiers,WG.Unity,Taring,DIRE,48.12,14 - 38,6.86,-58.78,58.78,1025,1081
184,2240919220,03/22/16,SEA KAPPA,SGR,BKAS,RADIANT,33.67,32 - 22,6.86,37.34,-37.34,1160,996
185,2240896236,03/22/16,ESL One Manilla China Qualifiers,CDEC.Y 2,VG,RADIANT,18.92,23-Jun,6.86,56.61,-56.61,1325,1258
186,2240807431,03/22/16,ESL One Manilla SEA Qualifiers,Taring,WG.Unity,DIRE,43.12,Dec-34,6.86,-57.66,57.66,1023,1084
187,2240805127,03/22/16,ESL One Manilla China Qualifiers,CDEC.Y 2,VG,DIRE,26.37,12-Nov,6.86,-60.64,60.64,1268,1314
188,2240001941,03/21/16,EPICENTER,GIRLZ,Archon,DIRE,26.87,Sep-20,6.86,-28.35,28.35,934,1151
189,2239960377,03/21/16,EPICENTER,Archon,GIRLZ,RADIANT,30.5,21 - 13,6.86,37.99,-37.99,1123,962
190,2239156248,03/21/16,ESL One Manilla China Qualifiers,Wings,VG,RADIANT,36.05,30 - 16,6.86,39.32,-39.32,1408,1254
191,2239103646,03/21/16,ESL One Manilla China Qualifiers,TRG,CDEC.A,DIRE,22.18,Jul-17,6.86,-18.89,18.89,903,1194
192,2239001296,03/21/16,ESL One Manilla China Qualifiers,Wings,VG,RADIANT,41.35,33 - 18,6.86,54.95,-54.95,1368,1293
193,2238976217,03/21/16,ESL One Manilla China Qualifiers,CDEC.A,TRG,RADIANT,29.55,29 - 17,6.86,23.35,-23.35,1175,922
194,2238918513,03/21/16,SEA KAPPA,MskiX,NND,DIRE,52.17,30 - 52,6.86,-63.96,63.96,992,1020
195,2238910582,03/21/16,ESL One Manilla China Qualifiers,CDEC.Y 2,LGD.cn,RADIANT,39.58,29 - 19,6.86,40.12,-40.12,1329,1179
196,2238864950,03/21/16,ESL One Manilla China Qualifiers,iG.V,VG.R,RADIANT,28.37,29 - 17,6.86,29.00,-29.00,1321,1107
197,2238827131,03/21/16,ESL One Manilla China Qualifiers,Wings,CDEC.A,RADIANT,35.22,38 - 18,6.86,37.81,-37.81,1314,1151
198,2238773307,03/21/16,ESL One Manilla China Qualifiers,CDEC.Y 2,LGD.cn,RADIANT,36.4,45 - 21,6.86,56.10,-56.10,1289,1219
199,2238767775,03/21/16,ESL One Manilla China Qualifiers,VG.R,iG.V,DIRE,22.88,Sep-25,6.86,-39.04,39.04,1136,1292
200,2238668685,03/21/16,ESL One Manilla China Qualifiers,TRG,VG,DIRE,20.93,Oct-26,6.86,-9.92,9.92,945,1348
